类型,前项,后项,来源说明
成语,轰轰烈烈,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,轻于鸿毛,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,轻如鸿毛,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,迎刃而解,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,迎头赶上,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,近朱者赤，近墨者黑,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,进退两难,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,连锁反应,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,迫不及待,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,迫不得已,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,适得其反,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,遇人不淑,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,遍体鳞伤,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,遗臭万年,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,酒足饭饱,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,酸甜苦辣,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,重于泰山,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,重男轻女,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,量力而行,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,金玉良言,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,铁面无私,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,销声匿迹,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,长年累月,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,长此以往,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,长篇大论,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,长途跋涉,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,长风破浪,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,闻鸡起舞,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,阿谀逢迎,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,随地随时,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,随时随地,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,随波逐流,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,隐隐约约,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,难以置信,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,雄伟壮观,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,集思广益,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,雪中送炭,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,震撼人心,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,面不改色,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,面红耳赤,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,鞠躬尽瘁,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,鞠躬尽瘁，死而后已,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,顺手牵羊,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,顺理成章,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,颠沛流离,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,风吹雨打,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,风和日丽,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,风平浪静,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,风雨不改,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,风雨同舟,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,风雨无阻,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,风风雨雨,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,飞蛾扑火,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,飞黄腾达,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,饭来张口,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,饱经风霜,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,马如游龙,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,马马虎虎,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,骄奢淫逸,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,骨瘦如柴,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,高人一等,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,高楼大厦,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,高高在上,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,鸟语花香,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,鸡毛蒜皮,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,鸡犬不宁,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,鸦雀无声,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,黑白分明,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,默不作声,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,默默无闻,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,黯然失色,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,鼓鼓囊囊,,chinese-xinhua成语数据；按当前800篇语料命中筛选
成语,齐心协力,,chinese-xinhua成语数据；按当前800篇语料命中筛选
歇后语,老王卖瓜,自卖自夸,chinese-xinhua歇后语数据；同篇作文前后项共现
谚语,上有天堂，下有苏杭,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,人之初，性本善,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,人要脸树要皮,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,你敬我一尺，我还你一丈,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,吸烟有百害而无一利,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,夏天南京像个火锅,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,天下兴亡，匹夫有责,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,孩子是父母的镜子,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,孩子看着父母而长大,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,家和万事兴,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,当局者迷，旁观者清,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,望子成龙、望女成凤,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,桂林山水甲天下,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,自立人生少年始,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,自食其力，生活是甘甜的；卑躬屈膝，生活是酸苦的,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,言教不如身教,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,远亲不如近邻,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
谚语,退一步海阔天空，忍一时风平浪静,,当前语料中由“俗话说/常言道/谚语”等显式引介语人工复核
